鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東五路１８號二十三樓,31.17,商,,,1110121,土地1建物1車位2,二十三層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1041013,496.17,4,2,4,有,有,63880000,134572,坡道平面,60.12,5200000,,RPOPMLKKLHHGFAE96DA,256.33,6.18,26.35,有,
前金區,房地(土地+建物),高雄市前金區新盛二街９９號,85.0,商,,,1110127,土地1建物1車位0,全,四層,透天厝,,鋼筋混凝土造,0590702,309.24,4,2,4,有,無,17000000,54973,,0.0,0,一到四樓後方增建、地下層增建。陽台外推；其他增建；,RPTPMLMLKHHGFAE67DA,309.24,0.0,0.0,無,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明華路２９０號二樓,23.77,住,,,1110213,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960403,216.93,4,2,2,有,有,18800000,86664,坡道平面,16.45,0,,RPPNMLNKKHHGFAE07DA,127.01,2.26,13.25,有,
鼓山區,房地(土地+建物),高雄市鼓山區美術東二路１３２巷４２號三樓,11.87,住,,,1110209,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930811,91.82,2,1,1,有,有,6500000,70791,,0.0,0,含裝潢費；含傢俱設備費；,RPXNMLLKKHHGFAE67DA,52.79,2.25,9.78,有,0199
鹽埕區,房地(土地+建物),高雄市鹽埕區光榮街７巷１５之３號,44.79,住,,,1110220,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0610710,73.34,3,2,1,有,無,2100000,28634,,0.0,0,,RPPNMLKLKHHGFAE86DA,68.17,0.0,0.0,無,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區華榮路３８７號九樓之８,21.13,住,,,1110218,土地1建物1車位2,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850216,169.57999999999998,3,2,2,有,有,9000000,53072,坡道平面,0.0,0,,RPWOMLLLKHHGFAE77DA,77.36,1.06,6.03,有,
鼓山區,房地(土地+建物),高雄市鼓山區龍德路２號,1725.0,住,,,1101116,土地4建物9車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0790323,709.65,31,0,31,有,無,1121891500,1580908,,0.0,0,土地價格新台幣1115831476元整，房屋價格新台幣6060024元整未登記建物；,RPSNMLTJKHHGFAE87DA,709.65,0.0,0.0,無,
鼓山區,房地(土地+建物),高雄市鼓山區美術東六街２１８號十二樓,9.33,都市：其他:第三種特定商業專用區,,,1110130,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930224,89.69,2,2,1,有,有,6300000,70242,,0.0,0,,RPWOMLSJKHHGFAE28DA,52.68,2.75,7.83,有,
鼓山區,房地(土地+建物),高雄市鼓山區麗雄街１號,94.0,商,,,1110123,土地2建物1車位0,全,四層,透天厝,,加強磚造,0481210,298.56,5,2,4,有,無,17000000,56940,,0.0,0,頂樓加蓋；其他增建；,RPSNMLPLJHHGFAE57DA,298.56,0.0,0.0,無,
前金區,房地(土地+建物),高雄市前金區南臺橫路１５２巷１５之１號,112.0,都市：其他:第二種特定商業專用區,,,1110127,土地1建物1車位0,全,四層,透天厝,,鋼筋混凝土造,0760620,216.35,5,3,3,有,無,7600000,35128,,0.0,0,,RPTNMLSLJHHGFAE97DA,180.4,24.43,11.52,無,
前金區,房地(土地+建物)+車位,高雄市前金區六合二路１０６號十七樓之１,6.67,商,,,1110130,土地1建物1車位1,十七層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100702,129.04,3,1,2,有,有,11950000,103242,坡道平面,28.79,1600000,,RPTNMLLKKHHGFAE27DA,54.26,1.79,8.22,有,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區翠華路２７９號六樓,36.0,住,,,1110110,土地1建物1車位2,六層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1050203,446.27,4,2,5,有,有,36160000,81027,坡道平面,43.58,0,,RPXNMLMKJHHGFAE67DA,213.61,17.9,26.22,有,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區翠華路２７８號七樓之１,39.8,住,,,1110107,土地1建物1車位2,七層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1050203,486.28999999999996,4,2,5,有,有,39490000,81207,坡道平面,51.02,0,,RPPOMLMKJHHGFAE96DA,242.24,16.71,19.61,有,
鼓山區,房地(土地+建物),高雄市鼓山區美術南六街７０號,130.63,住,,,1110215,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0960720,358.75,5,2,5,有,有,36500000,101742,,0.0,0,陽台外推；其他增建；,RPUOMLMLKHHGFAE67DA,318.98,0.0,39.77,有,
前金區,房地(土地+建物),高雄市前金區大同一路２８８號十四樓,4.18,商,,,1110122,土地1建物1車位0,十四層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造、鋼骨鋼筋混凝土構造、鋼筋混凝土造,1070904,65.15,2,1,1,有,有,6620000,101612,,0.0,0,含傢俱設備費；,RPSOMLLKKHHGFAE27DA,37.38,0.0,5.1,有,0200
前金區,房地(土地+建物),高雄市前金區自強一路６５巷１８號,31.0,住,,,1110222,土地2建物1車位0,全,四層,透天厝,,鋼筋混凝土造,0641115,65.75,3,3,3,有,無,3000000,45627,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPTNMLPLKHHGFAE77DA,65.75,0.0,0.0,無,0201
前金區,房地(土地+建物),高雄市前金區光明街２之２號,23.45,商,,,1110225,土地1建物1車位0,一層，騎樓,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,0720715,142.23,3,1,1,有,無,18000000,126556,,0.0,0,,RPTQMLPLKHHGFAE08DA,124.47,0.0,0.0,有,0202
前金區,房地(土地+建物),高雄市前金區大同一路２８８號九樓,4.18,商,,,1110203,土地1建物1車位0,九層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造、鋼骨鋼筋混凝土構造、鋼筋混凝土造,1070904,65.15,2,2,1,有,有,6600000,101305,,0.0,0,含傢俱設備費；,RPUOMLMJLHHGFAE57DA,37.38,0.0,5.1,有,0203
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南五街２７８號八樓,14.38,住,,,1110120,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011025,146.63,3,2,2,有,有,12200000,83203,坡道平面,19.83,0,,RPUOMLKKLHHGFAE47DA,77.47,5.84,2.36,有,0204
鼓山區,房地(土地+建物),高雄市鼓山區美術東二路１２８號六樓,51.53,住,,,1110225,土地1建物1車位0,六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1050105,397.41999999999996,4,2,3,有,有,39800000,100146,,0.0,0,,RPTOMLLKLHHGFAE47DA,213.49,19.08,25.62,有,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南二路１３３號十一樓之１,14.1,住,,,1110211,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940616,98.65,2,2,1,有,有,9680000,98125,坡道平面,19.9,0,,RPQNMLLKLHHGFAE07DA,48.03,2.52,4.17,有,0205
鹽埕區,房地(土地+建物),高雄市鹽埕區新興街３０５號十樓之３,13.88,商,,,1110220,土地1建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841118,106.08,3,2,2,有,有,4200000,39593,,0.0,0,,RPWNMLLKLHHGFAE67DA,70.32,0.0,6.17,有,
前金區,房地(土地+建物),高雄市前金區中華四路３０２號五樓之１,5.05,商,,,1110307,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850920,49.089999999999996,1,1,1,有,有,2930000,59686,,0.0,0,,RPUNMLSJLHHGFAE08DA,29.73,0.0,6.42,有,0206
鼓山區,車位,高雄市鼓山區美術南三路３０１號二樓等２２４戶共有部分,0.0,,,,1110224,土地0建物1車位1,,,住宅大樓(11層含以上有電梯),,,,22.19,0,0,0,有,有,2200000,,坡道平面,22.19,2200000,僅車位交易；,RPVNMLSJLHHGFAE18DA,0.0,0.0,0.0,有,0002
前金區,房地(土地+建物)+車位,高雄市前金區青年二路１５２之２號十樓,6.53,商,,,1101207,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040325,87.64,2,1,1,有,有,7250000,82725,塔式車位,10.01,0,含傢俱設備費；,RPSNMLKKLHHGFAE17DA,48.38,0.0,4.4,有,0208
新興區,房地(土地+建物),高雄市新興區復興二路２１７號八樓之９,4.34,商,,,1090315,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110114,67.05,2,1,1,有,有,5020000,74870,,0.0,0,,RPROMLPKJHHGFBE57DA,37.54,1.56,3.72,有,
