,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
1022,烏日區,房地(土地+建物)+車位,臺中市烏日區三榮北路１１８號九樓之１,20.89,住,,,1101118,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100913,103.22,1,2,1,有,有,7800000,95661,坡道平面,36.84,1450000,預售屋、或土地及建物分件登記案件；,RPSQMLLKKHHGFIB97DA,40.46,0.0,4.94,有,
1023,烏日區,房地(土地+建物)+車位,臺中市烏日區三榮北路１１８號八樓之８,20.89,住,,,1101216,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100913,104.36,1,2,1,有,有,8170000,99729,坡道平面,37.98,1550000,預售屋、或土地及建物分件登記案件；,RPORMLLKKHHGFIB67DA,40.46,0.0,4.94,有,
1024,烏日區,房地(土地+建物)+車位,臺中市烏日區三榮北路１１８號十二樓之１１,20.89,住,,,1101213,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100913,104.36,1,2,1,有,有,7750000,93402,坡道平面,37.98,1550000,預售屋、或土地及建物分件登記案件；,RPPRMLLKKHHGFIB77DA,40.46,0.0,4.94,有,
1028,潭子區,房地(土地+建物),臺中市潭子區頭張路一段１１７巷１７弄１３號九樓,3.06,商,,,1110221,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820511,29.630000000000003,1,1,1,有,有,2000000,67499,,0.0,0,,RPVNMLKKLHHGFHB87DA,16.37,0.0,4.86,有,
1063,西屯區,房地(土地+建物)+車位,臺中市西屯區青海南街１９９號十樓之８,17.35,住,,,1110128,土地1建物1車位1,十層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101018,139.73000000000002,2,2,2,有,有,16000000,114507,坡道平面,30.89,0,,RPQOMLPKLHHGFCB47DA,62.22,4.91,3.66,有,271.0
1064,南屯區,房地(土地+建物)+車位,臺中市南屯區大墩七街５２８號十七樓之９,7.6,商,,,1100831,土地1建物1車位1,十七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101029,98.88,2,2,1,有,有,11350000,114786,坡道平面,23.98,0,,RPROMLPKLHHGFCB57DA,39.53,4.79,4.32,有,272.0
1067,西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路１３１號六樓之５,10.39,住,,,1110222,土地1建物1車位1,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991119,120.46,2,2,1,有,有,12800000,106259,坡道平面,22.28,0,陽台外推；其他增建；,RPORMLPKLHHGFCB57DA,53.78,4.47,9.27,有,
1073,西屯區,房地(土地+建物)+車位,臺中市西屯區文心路三段１９９之２號十二樓之７,11.14,,,,1110218,土地1建物1車位1,十二層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100304,204.79,3,2,2,有,有,24900000,141104,坡道平面,41.79,1900000,,RPQNMLLKLHHGFCB96DA,90.75,1.42,13.57,有,
1077,西屯區,房地(土地+建物),臺中市西屯區福聯街１７號四樓之２,15.37,住,,,1110208,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831026,100.86000000000001,3,2,2,有,有,5850000,58001,,0.0,0,其他增建；,RPVQMLTJLHHGFCB48DA,69.48,0.0,10.31,有,
1079,南屯區,房地(土地+建物)+車位,臺中市南屯區大墩七街５２６號八樓之１１,7.75,商,,,1110217,土地1建物1車位1,八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101029,100.22999999999999,2,2,1,有,有,11000000,109748,坡道平面,23.98,0,,RPVPMLSJLHHGFCB28DA,40.18,5.04,4.32,有,274.0
1082,西屯區,房地(土地+建物)+車位,臺中市西屯區青海南街２０７號十一樓之８,10.04,住,,,1110213,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101108,73.88,2,2,1,有,有,8600000,116405,坡道機械,10.17,0,,RPUQMLOJLHHGFCB87DA,36.86,0.0,3.3,有,275.0
1087,西屯區,房地(土地+建物),臺中市西屯區大容西街５７號十一樓之５,12.32,住,,,1110116,土地1建物1車位0,十一層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861121,140.28,3,2,2,有,有,11000000,78415,,0.0,0,,RPVQMLMLKHHGFCB87DA,82.21,2.3,15.11,有,
1092,西屯區,房地(土地+建物)+車位,臺中市西屯區工業區一路６６號六樓之８,24.18,住,,,1110213,土地1建物1車位2,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981106,239.6,4,2,2,有,有,22100000,92237,坡道平面,49.8,0,,RPPNMLOKKHHGFCB07DA,121.65,5.25,7.6,有,
1094,西屯區,房地(土地+建物)+車位,臺中市西屯區環中路二段１５７７號六樓之２,9.57,商,,,1110109,土地1建物1車位1,六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071210,93.98,2,2,1,有,有,9360000,99596,坡道機械,9.67,0,,RPWNMLQKKHHGFCB97DA,46.54,0.0,9.24,有,277.0
1097,北屯區,房地(土地+建物)+車位,臺中市北屯區水湳路４之２巷１５號八樓之３,20.89,住,,,1110221,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101022,105.42,2,2,1,有,有,13100000,124265,坡道機械,14.91,0,,RPSOMLPKLHHGFBB57DA,52.38,0.0,7.79,有,279.0
1100,北屯區,房地(土地+建物)+車位,臺中市北屯區太原路三段１２１６號五樓之５,11.85,住,,,1110226,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091225,96.05000000000001,2,2,1,有,有,7000000,72879,坡道機械,12.16,0,,RPPRMLPKLHHGFBB57DA,50.52,2.44,3.28,有,280.0
1106,北屯區,房地(土地+建物)+車位,臺中市北屯區崇德七路１９２號１４樓,17.02,住,,,1110206,土地1建物1車位1,十四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831112,183.26999999999998,3,2,2,有,有,11000000,60021,坡道機械,0.0,0,,RPRRMLTJLHHGFBB08DA,122.18,1.05,15.19,有,
