鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區稻香路１８８號五樓之６,91.31,住,,,1090704,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101217,201.24,4,2,2,有,有,25700000,141878,坡道平面,34.9,2100000,,RPTOMLPKLHHGFEA97EA,100.05,8.4,8.65,有,
北投區,房地(土地+建物)+車位,臺北市北投區稻香路１８８號五樓之１,49.5,住,,,1090527,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101217,126.53999999999999,2,2,1,有,有,15650000,147861,坡道平面,34.9,2100000,,RPUOMLPKLHHGFEA08EA,54.46,1.85,8.51,有,
北投區,房地(土地+建物)+車位,臺北市北投區稻香路１８６號二樓之３,78.84,住,,,1091026,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101217,180.51,3,2,2,有,有,22900000,142161,坡道平面,34.9,2200000,,RPVOMLPKLHHGFEA18EA,86.54,5.6,7.85,有,
北投區,房地(土地+建物),臺北市北投區石牌路一段３９巷７０弄１７號五樓,26.4,住,,,1110217,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660901,96.22,2,3,2,有,無,13680000,142174,,0.0,0,頂樓加蓋；,RPVPMLPKLHHGFEA28EA,90.71,0.0,5.51,無,
士林區,房地(土地+建物),臺北市士林區雨聲街８３巷１號三樓,35.41,住,,,1110115,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730418,112.99,3,2,2,有,無,20680000,183025,,0.0,0,陽台外推；其他增建；,RPWPMLPKLHHGFEA38EA,99.57,0.0,12.01,無,153
士林區,房地(土地+建物),臺北市士林區天玉街３９巷６號二樓,32.77,住,,,1110128,土地3建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0750917,154.61,4,2,2,有,無,23000000,148761,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOQMLPKLHHGFEA67EA,129.93,0.0,16.12,有,
士林區,房地(土地+建物),臺北市士林區大南路３７６號四樓,41.75,住,,,1101220,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0631017,91.32,4,0,4,有,無,17100000,187254,,0.0,0,頂樓加蓋；,RPQNMLOKLHHGFEA47EA,91.32,0.0,0.0,無,154
大安區,房地(土地+建物),臺北市大安區復興南路二段１９３巷２１號,21.91,住,,,1110220,土地1建物1車位0,一層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,112.94,3,2,2,有,有,28000000,247941,,0.0,0,,RPWNMLPKLHHGFFA28EA,84.65,9.83,0.0,有,
大安區,房地(土地+建物),臺北市大安區光復南路５６２之３號,8.05,住,,,1110226,土地4建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0721227,84.41000000000001,0,0,0,無,無,30636000,362943,,0.0,0,,RPPOMLPKLHHGFFA67EA,68.52,4.38,0.0,有,
大安區,房地(土地+建物)+車位,臺北市大安區建國南路一段１６１號六樓,71.56,商,,,1110215,土地3建物1車位2,六層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0881006,589.0799999999999,5,0,0,有,有,157450000,267281,坡道平面,0.0,5000000,,RPQNMLOKLHHGFFA57EA,316.91,4.08,20.78,有,
大安區,車位,臺北市大安區仁愛路四段４０８巷１６號,0.45,住,,,1110218,土地1建物1車位1,一層,十三層,其他,一般事務所,鋼筋混凝土造,1011113,42.26,0,0,0,有,有,3300000,,坡道平面,42.26,3300000,僅車位交易；,RPXOMLLKKHHGFFA97EA,0.0,0.0,0.0,有,026
大安區,房地(土地+建物),臺北市大安區文昌街９４號,49.0,商,,,1101123,土地1建物1車位0,全,三層,透天厝,,加強磚造,,149.02,4,3,3,有,無,38000000,254999,,0.0,0,未登記建物；,RPRPMLLKKHHGFFA47EA,149.02,0.0,0.0,無,
士林區,房地(土地+建物)+車位,臺北市士林區承德路四段２４６號十樓,31.29,住,,,1110216,土地2建物1車位1,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790606,153.92999999999998,3,2,2,有,有,22000000,142922,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLQKLHHGFEA67EA,130.45,2.27,12.42,有,
大安區,房地(土地+建物),臺北市大安區忠孝東路四段２２３巷４９弄２號,32.23,住,,,1110215,土地3建物1車位0,一層,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0670125,161.26,2,2,3,有,有,41500000,257348,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQKLHHGFFA67EA,137.3,23.96,0.0,有,
大安區,土地,通化段六小段311地號,125.74,都市：其他:道路用地(公共設施用地)。61/4/24,,,1110221,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9604021,76380,,0.0,0,包含公共設施保留地用地；,RPSOMLQKLHHGFFA08EA,0.0,0.0,0.0,無,156
大安區,土地,通化段三小段476地號,3.51,都市：其他:道路用地(公共設施用地)。61/4/24,,,1110309,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,232442,66223,,0.0,0,包含公共設施保留地用地；,RPXOMLQKLHHGFFA58EA,0.0,0.0,0.0,無,157
松山區,房地(土地+建物),臺北市松山區慶城街２３之７號四樓,23.92,住,,,1110303,土地6建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0691120,130.12,3,2,2,有,無,28000000,215186,,0.0,0,,RPSOMLQKLHHGFDA87EA,94.28,0.0,21.37,有,
松山區,房地(土地+建物),臺北市松山區民生東路五段１５１號九樓之７,4.49,商,,,1110301,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720129,51.52,1,1,1,有,有,11450000,222244,,0.0,0,,RPUNMLRKLHHGFDA08EA,39.92,0.0,3.6,有,
信義區,房地(土地+建物)+車位,臺北市信義區松勇路５３巷３５號三樓,18.24,住,,,1110224,土地1建物1車位2,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951123,73.41,4,1,3,有,有,14600000,198883,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPPMLLLKHHGFDA17EA,32.98,0.0,3.39,有,
信義區,房地(土地+建物)+車位,臺北市信義區基隆路一段１０１巷２號六樓之１,5.54,商,,,1110126,土地2建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,0910104,50.02,1,1,1,有,有,13470000,269292,塔式車位,0.0,1200000,車位所在樓層:地上一,RPQPMLLLKHHGFDA27EA,31.1,1.33,2.92,有,
