鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
板橋區,房地(土地+建物)+車位,新北市板橋區漢生西路１６７之１號十一樓,8.27,住,,,1110117,土地1建物1車位1,十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090727,92.08,2,2,1,有,有,15710000,187613,坡道機械,14.74,1200000,,RPVNMLTJLHHGFAF38DA,47.58,0.0,2.71,有,
土城區,土地,柑林段1246地號,64.06,都市：其他:保護區,,,1110226,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4939350,77105,,0.0,0,,RPXNMLTJLHHGFAF58DA,0.0,0.0,0.0,無,
板橋區,房地(土地+建物)+車位,新北市板橋區漢生西路１７１之１號七樓,7.36,住,,,1110119,土地1建物1車位1,七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090727,83.21000000000001,2,2,1,有,有,13970000,187966,坡道機械,14.74,1100000,,RPPOMLTJLHHGFAF87DA,41.09,0.0,3.44,有,
林口區,房地(土地+建物)+車位,新北市林口區文化三路一段６１７巷１３６號五樓,13.99,住,,,1101211,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041022,125.27,2,2,1,有,有,12720000,109603,坡道平面,26.55,1900000,,RPQOMLQLJHHGFBF77DA,57.22,3.67,5.16,有,0009
新莊區,房地(土地+建物),新北市新莊區西盛街１５３巷２２號十三樓,9.66,住,,,1101226,土地1建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811022,68.23,2,1,1,有,有,7300000,106991,,0.0,0,陽台外推；,RPSNMLQLKIGGFBF97DA,51.5,0.43,6.14,有,
五股區,房地(土地+建物)+車位,新北市五股區新城八路９２號十二樓,16.25,商,,,1110112,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021018,148.9,3,2,2,有,有,14400000,96709,坡道平面,25.2,0,,RPWPMLRJKHHGFBF48DA,73.05,3.91,8.47,有,0010
林口區,房地(土地+建物)+車位,新北市林口區文化二路一段６８巷８號十樓之四,16.98,住,,,1110123,土地1建物1車位1,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850126,107.64,3,2,1,有,有,9880000,91787,坡道平面,0.0,0,陽台外推；,RPTRMLOKKHHGFBF18DA,49.22,2.11,6.97,有,0011
五股區,房地(土地+建物)+車位,新北市五股區御成路２２號二樓,35.13,住,,,1110116,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1000330,165.34,3,2,2,有,有,13700000,82860,坡道平面,31.96,0,,RPURMLQKKHHGFBF48DA,85.5,0.0,8.73,有,0012
新莊區,土地,副都心段一小段102地號,544.8,住,,,1110222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,329604000,605000,,0.0,0,,RPWOMLMLKHHGFBF08DA,0.0,0.0,0.0,無,
新莊區,土地,副都心段一小段103地號,369.93,住,,,1110222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,223807600,605000,,0.0,0,,RPPPMLMLKHHGFBF47DA,0.0,0.0,0.0,無,
