鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
烏日區,房地(土地+建物),臺中市烏日區中華路２１巷７號,67.24,住,,,1110106,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0661204,78.3,4,2,2,有,無,10800000,137931,,0.0,0,其他增建；,RPTOMLRKJHHGFIB38DA,78.3,0.0,0.0,無,0052
大里區,土地,大元段406地號,12.76,住,,,1101230,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,579000,45376,,0.0,0,,RPRNMLPLJHHGFIB97DA,0.0,0.0,0.0,無,0053
大里區,土地,大元段406地號,19.14,住,,,1101230,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,868500,45376,,0.0,0,,SPRNMLPLJHHGFIB08DA,0.0,0.0,0.0,無,0053
大里區,土地,大元段406地號,19.14,住,,,1101230,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,868500,45376,,0.0,0,,TPRNMLPLJHHGFIB18DA,0.0,0.0,0.0,無,0053
大里區,土地,大元段406地號,19.14,住,,,1101230,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,868500,45376,,0.0,0,,UPRNMLPLJHHGFIB28DA,0.0,0.0,0.0,無,0053
大里區,土地,美群段119地號,245.2,,鄉村區,乙種建築用地,1101214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16318060,66550,,0.0,0,未登記建物；,RPQRMLRJKHHGFIB38DA,0.0,0.0,0.0,無,
烏日區,房地(土地+建物)+車位,臺中市烏日區健行南路７號十二樓之１,21.98,住,,,1110119,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021016,122.00999999999999,2,2,1,有,有,8200000,83281,坡道平面,25.71,180000,含傢俱設備費；,RPQOMLTJKHHGFIB28DA,53.82,2.69,6.14,有,0057
潭子區,土地,東寶三段340地號,112.51,農,,,1110226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5900000,52440,,0.0,0,,RPPNMLRJLHHGFHB87DA,0.0,0.0,0.0,無,
潭子區,房地(土地+建物)+車位,臺中市潭子區頭張路二段７９號八樓,19.57,住,,,1110128,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810907,118.94,2,2,2,有,有,7100000,59694,坡道機械,0.0,0,陽台外推；,RPRNMLKKLHHGFHB47DA,90.19,0.0,10.38,有,
大雅區,房地(土地+建物),臺中市大雅區雅楓街１３０巷１弄１４號,86.0,住,,,1110116,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0721215,135.44,5,2,2,有,無,7250000,53529,,0.0,0,,RPVOMLTKJHHGFHB68DA,130.16,0.0,5.28,無,
