鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２２２號,20.11,住,,,1080504,土地1建物1車位1,一層，二層,十五層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1101101,130.9,0,0,0,無,有,16200000,142067,坡道平面,27.78,1550000,轉讓日期110.10.21總金額1730萬元整預售屋、或土地及建物分件登記案件；,RPWUMLRJLHHGFBH66DA,62.7,0.0,4.71,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２１６號十五樓,24.06,住,,,1080713,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,150.39,3,2,2,有,有,10950000,76666,坡道平面,27.78,1550000,轉讓日期110.11.15總金額不變預售屋、或土地及建物分件登記案件；,RPSQMLRJLHHGFBH48DA,71.27,2.06,6.94,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２１８號八樓,19.58,住,,,1080323,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,127.5,2,2,2,有,有,8560000,71300,坡道平面,27.78,1450000,轉讓日期109.11.21總金額970萬元整預售屋、或土地及建物分件登記案件；,RPTQMLRJLHHGFBH58DA,57.74,3.28,4.15,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航南路三段４６８號四樓之８,51.4,商,,,1110125,土地1建物1車位2,四層,十六層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1080222,404.86,3,2,2,有,有,36770000,93095,坡道平面,51.78,3900000,,RPWQMLRJLHHGFBH88DA,242.34,0.0,0.0,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２１８號九樓,19.66,住,,,1080424,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,128.25,2,2,2,有,有,8700000,72161,坡道平面,27.78,1450000,轉讓日期110.04.28總金額1000萬元整預售屋、或土地及建物分件登記案件；,RPORMLRJLHHGFBH18DA,57.74,3.74,4.15,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航南路三段４６８號三樓之１７,35.25,商,,,1110111,土地1建物1車位3,三層,十六層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1080222,331.02,2,2,2,有,有,30500000,95520,坡道平面,77.67,6300000,,RPPRMLRJLHHGFBH28DA,153.56,0.0,11.96,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２１８號十一樓,19.66,住,,,1080601,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,128.25,2,2,2,有,有,8900000,73156,坡道平面,27.78,1550000,預售屋、或土地及建物分件登記案件；,RPQRMLRJLHHGFBH38DA,57.74,3.74,4.15,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２１８號十五樓,19.66,住,,,1080824,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,128.25,2,2,2,有,有,9300000,79128,坡道平面,27.78,1350000,預售屋、或土地及建物分件登記案件；,RPRRMLRJLHHGFBH48DA,57.74,3.74,4.15,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２２０號五樓,19.66,住,,,1080331,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,128.26,2,2,2,有,有,8300000,68173,坡道平面,27.78,1450000,預售屋、或土地及建物分件登記案件；,RPSRMLRJLHHGFBH58DA,57.61,3.88,4.15,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２２０號六樓,19.58,住,,,1080607,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,127.51,2,2,2,有,有,8000000,65677,坡道平面,27.78,1450000,轉讓日期109.07.14總金額不變預售屋、或土地及建物分件登記案件；,RPTRMLRJLHHGFBH68DA,57.61,3.42,4.15,有,
